Tipo,TPR_FULL,FPR_FULL,F1_FULL,TPR_BAD,FPR_BAD,F1_BAD,TPR_GOOD,FPR_GOOD,F1_GOOD,8 peores tpr,8 peores fpr
A,88.516,4.386,86.079,64.199,14.851,61.866,92.474,2.683,90.021,[31 32 39  1  3 34  0 17],[39 31 12 15 24 36 25 16]
O,76.699,3.775,80.817,60.531,22.403,45.718,79.331,0.742,86.531,[32 31  8  1  7 39 38  3],[39 23 16 31 32 12 25 24]
EQ,87.108,24.45,65.722,70.924,20.514,63.641,89.742,25.091,66.06,[ 8 38  9 31 39 32  1 27],[39 12  2 45 19 48 13 28]
EQO,84.883,25.993,60.641,67.092,33.622,44.624,87.78,24.752,63.249,[ 9 29  7 38 31 32 39  1],[12 13 39  2 19 20 35 44]
GMMS,95.266,8.565,84.124,89.63,23.466,64.009,96.184,6.139,87.398,[39  8  1  3 34 18  0 17],[16 12 25 23 39 36 35 31]
GMMSA,93.25,4.126,88.538,87.41,8.126,80.874,94.201,3.474,89.786,[39  1  8  3 34  0 17 18],[12 39 31 15 36 24 42 35]
OS,77.833,3.866,81.423,61.262,22.636,45.932,80.531,0.811,87.201,[32 31  8  1  7 39 38  3],[39 23 16 31 32 12 25 24]
H,61.994,4.331,60.404,22.508,2.581,29.243,68.422,4.616,65.477,[31 32 34  9 38 39 10 43],[11  2 21 28 45 41  5 49]
W,69.574,6.643,68.426,30.69,11.186,25.709,75.904,5.904,75.38,[48 31 39 32 25  6 23 26],[14 17 27  9 34 20 42  3]
RW,82.52,27.953,63.923,45.611,32.661,31.513,88.529,27.187,69.199,[23 38 31 48 32 39 25  8],[46 42 14  3 15 17 20 18]
kmeansRGB1,80.861,3.731,83.363,53.421,20.01,43.608,85.328,1.081,89.835,[32 39 25  8  1  7  3  0],[25 23 12 32 31 39 36 15]
kmeansHSV2,81.134,2.799,85.011,78.603,13.537,71.72,81.546,1.051,87.175,[ 8 39  7 18  1  3 38  0],[16 25 12 39 36 15 24 13]
kmeansLAB2,79.926,7.263,77.816,72.661,13.156,68.377,81.109,6.303,79.353,[18 31 34 49  6 43  1  8],[18 16 31 43 33 38 42 34]
