Tipo,TPR_FULL,FPR_FULL,TPR_BAD,FPR_BAD,TPR_GOOD,FPR_GOOD,8 peores tpr,8 peores fpr
kmeansRGB,0.453,0.04,0.152,0.139,0.502,0.024,[24 31 15 36 12 38 25  9],[17 24 23  8 43  9 26 38]
kmeansRGB1,0.808,0.036,0.529,0.194,0.853,0.011,[32 39 25  8  7  1  3  0],[25 23 12 32 31 39 36 15]
kmeansRGB2,0.779,0.036,0.632,0.21,0.803,0.008,[31 32  8  1 39  7 38  6],[39 23 16 32 31 12 25 24]
kmeansRGB3,0.628,0.044,0.447,0.211,0.657,0.017,[38 32 39 31 48  6  8  4],[31 48 23 32 39 17 12 15]
kmeansHSV,0.386,0.017,0.227,0.05,0.412,0.011,[25 31 34 38 15 10 42 39],[15 31 14 32 39 20 38 10]
kmeansHSV1,0.393,0.104,0.241,0.081,0.418,0.107,[23 42 37  3 31 29 17 16],[ 0  2 22 47 40 15 28 31]
kmeansHSV2,0.81,0.028,0.786,0.134,0.814,0.011,[ 8 39  7 18  1  3 38  0],[16 25 12 39 36 15 24 13]
kmeansHSV3,0.639,0.042,0.454,0.229,0.67,0.012,[32 38 39 31  6  4  8  1],[31 23 32 39 48 16 17 12]
kmeansLAB,0.73,0.022,0.366,0.036,0.789,0.019,[32 38 31 39 48  6 25 18],[ 3 12 32 15 38 39 42 35]
kmeansLAB1,0.757,0.038,0.597,0.227,0.783,0.008,[32 31  8  1 39  7 38  6],[39 23 31 16 32 12 24 25]
kmeansLAB2,0.776,0.072,0.704,0.136,0.788,0.062,[38 31  4 34 49 18  6 43],[ 4 16 31  1 43 33 42 34]
kmeansLAB3,0.762,0.08,0.646,0.14,0.78,0.07,[13 29 39 14 25  3 12  8],[ 3 14 29 13 16 23 25 36]
