Tipo,TPR_FULL,FPR_FULL,F1_FULL,TPR_BAD,FPR_BAD,F1_BAD,TPR_GOOD,FPR_GOOD,F1_GOOD,8 peores tpr,8 peores fpr
A,88.33,4.298,85.935,64.26,13.923,62.099,92.249,2.732,89.815,[31 32 39  1  3 34  0 17],[39 12 31 15 24 36 25 16]
O,76.699,3.775,80.817,60.531,22.403,45.718,79.331,0.742,86.531,[32 31  8  1  7 39 38  3],[39 23 16 31 32 12 25 24]
EQ,87.108,24.45,65.722,70.924,20.514,63.641,89.742,25.091,66.06,[ 8 38  9 31 39 32  1 27],[39 12  2 45 19 48 13 28]
EQO,84.883,25.993,60.641,67.092,33.622,44.624,87.78,24.752,63.249,[ 9 29  7 38 31 32 39  1],[12 13 39  2 19 20 35 44]
GMMS,95.266,8.565,84.124,89.63,23.466,64.009,96.184,6.139,87.398,[39  8  1  3 34 18  0 17],[16 12 25 23 39 36 35 31]
GMMSA,91.43,3.876,87.411,76.743,7.287,72.678,93.821,3.32,89.809,[32 39  1  8  3 34  0 17],[12 39 31 15 36 24 35 25]
OS,77.833,3.866,81.423,61.262,22.636,45.932,80.531,0.811,87.201,[32 31  8  1  7 39 38  3],[39 23 16 31 32 12 25 24]
H,61.994,4.331,60.404,22.508,2.581,29.243,68.422,4.616,65.477,[31 32 34  9 38 39 10 43],[11  2 21 28 45 41  5 49]
W,69.574,6.643,68.426,30.69,11.186,25.709,75.904,5.904,75.38,[48 31 39 32 25  6 23 26],[14 17 27  9 34 20 42  3]
RW,82.52,27.953,63.923,45.611,32.661,31.513,88.529,27.187,69.199,[23 38 31 48 32 39 25  8],[46 42 14  3 15 17 20 18]
kmeansRGB1,80.864,3.731,83.365,53.421,20.01,43.608,85.331,1.081,89.837,[32 39 25  8  1  7  3  0],[25 23 12 32 31 39 36 15]
kmeansHSV2,81.133,2.799,85.01,78.603,13.537,71.72,81.544,1.051,87.174,[ 8 39  7 18  1  3 38  0],[16 25 12 39 36 15 24 13]
kmeansLAB2,79.811,7.215,77.732,72.661,13.156,68.377,80.975,6.248,79.255,[18 34 31 49  6 43  1  8],[18 16 31 43 33 38 42 35]
